epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,151.492,1.27286,3.14483,1.09411,0.55247,0.14601,0.08832,0.05502,1.33331,3.25213,1.07588,0.000608042,0.000202681,0.000608042,0.000202681,0.000608042,0.000202681,0.000608042,0.000202681
31,156.291,1.26163,3.21472,1.0884,0.63697,0.14868,0.09549,0.05876,1.32835,3.22669,1.07511,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256
32,160.889,1.28033,3.09877,1.08168,0.64847,0.15153,0.09586,0.05885,1.33225,3.21637,1.07751,0.000551494,0.000183831,0.000551494,0.000183831,0.000551494,0.000183831,0.000551494,0.000183831
33,165.731,1.25592,3.03699,1.06848,0.64462,0.14703,0.09561,0.06035,1.32954,3.18014,1.07545,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406
34,170.368,1.26012,3.06753,1.05517,0.64515,0.1468,0.09503,0.06017,1.32744,3.17442,1.07647,0.000494945,0.000164982,0.000494945,0.000164982,0.000494945,0.000164982,0.000494945,0.000164982
35,175.187,1.30604,3.108,1.09819,0.64315,0.14424,0.09756,0.06173,1.33016,3.15271,1.07702,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557
36,179.785,1.22475,2.97549,1.07975,0.6398,0.14861,0.0948,0.05963,1.3297,3.14265,1.07913,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132
37,184.649,1.2319,2.99802,1.07639,0.63038,0.14146,0.09645,0.06069,1.32554,3.12924,1.07763,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707
38,189.26,1.27319,2.99734,1.08919,0.62988,0.14356,0.09964,0.06247,1.32354,3.12318,1.07888,0.000381847,0.000127282,0.000381847,0.000127282,0.000381847,0.000127282,0.000381847,0.000127282
39,194.139,1.24081,2.92325,1.07892,0.62681,0.14389,0.09821,0.06169,1.32139,3.10121,1.07644,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858
40,198.736,1.2178,2.93584,1.07796,0.63812,0.14932,0.09933,0.06196,1.32681,3.08815,1.07839,0.000325298,0.000108433,0.000325298,0.000108433,0.000325298,0.000108433,0.000325298,0.000108433
41,247.353,1.21534,2.80797,1.07978,0.63203,0.1541,0.09792,0.06059,1.31993,3.05435,1.07597,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05,0.000297024,9.9008e-05
42,252.184,1.19565,2.7865,1.05393,0.63094,0.15614,0.09717,0.06001,1.31579,3.04911,1.07497,0.00026875,8.95832e-05,0.00026875,8.95832e-05,0.00026875,8.95832e-05,0.00026875,8.95832e-05
43,256.995,1.19181,2.74855,1.06534,0.62645,0.16472,0.09662,0.05948,1.31502,3.02102,1.07361,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05,0.000240475,8.01584e-05
44,261.561,1.18305,2.72662,1.05621,0.62465,0.16554,0.09741,0.05976,1.31388,3.01248,1.07571,0.000212201,7.07336e-05,0.000212201,7.07336e-05,0.000212201,7.07336e-05,0.000212201,7.07336e-05
45,266.355,1.16534,2.72768,1.04019,0.6251,0.16952,0.09388,0.05716,1.31538,3.00123,1.0746,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05
46,270.989,1.18056,2.74595,1.07391,0.62737,0.17667,0.08658,0.05144,1.31468,2.99887,1.07578,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05
47,275.839,1.19,2.71982,1.07437,0.6277,0.17696,0.08682,0.05199,1.3153,2.98908,1.07683,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05
48,280.449,1.18037,2.71292,1.05629,0.62793,0.17776,0.0858,0.05139,1.31443,2.99014,1.07763,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05
49,285.21,1.16167,2.70195,1.05662,0.62448,0.17127,0.08592,0.05169,1.31583,2.98431,1.07751,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05
50,289.856,1.18898,2.63551,1.05878,0.62649,0.17675,0.09363,0.05775,1.31611,2.98166,1.07856,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05
